基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
001875,前海开源沪港深优势精选,01-26,2.8920,6.32%,25.57%,44.11%,43.87%,113.47%,18.19%,https://www.howbuy.com/fund/001875
008308,华夏见龙精选混合,01-26,1.7938,6.68%,17.01%,44.00%,48.80%,--,10.71%,https://www.howbuy.com/fund/008308
001102,前海开源国家比较优势混合,01-26,4.3590,7.52%,19.39%,43.01%,45.49%,127.39%,12.90%,https://www.howbuy.com/fund/001102
162202,泰达宏利周期混合,01-26,2.8093,6.14%,11.21%,42.94%,51.36%,82.85%,9.37%,https://www.howbuy.com/fund/162202
398051,中海环保新能源混合,01-26,2.3140,8.64%,8.64%,42.84%,67.20%,105.51%,9.15%,https://www.howbuy.com/fund/398051
161912,万家社会责任18个月混合A,01-26,2.1204,3.71%,6.93%,42.57%,57.79%,75.23%,4.76%,https://www.howbuy.com/fund/161912
161913,万家社会责任18个月混合C,01-26,2.1039,3.70%,6.89%,42.40%,57.40%,74.36%,4.72%,https://www.howbuy.com/fund/161913
002564,新沃通盈灵活配置混合,01-26,2.1420,0.28%,17.56%,42.14%,36.43%,63.01%,14.36%,https://www.howbuy.com/fund/002564
005743,长安裕隆混合A,01-26,3.5666,5.27%,15.18%,42.08%,57.33%,95.99%,11.28%,https://www.howbuy.com/fund/005743
001140,工银总回报灵活配置混合,01-26,2.2760,2.80%,12.40%,42.07%,58.94%,104.86%,7.92%,https://www.howbuy.com/fund/001140
005744,长安裕隆混合C,01-26,3.5328,5.26%,15.12%,41.91%,56.94%,95.00%,11.24%,https://www.howbuy.com/fund/005744
001837,前海开源沪港深蓝筹精选,01-26,2.1870,6.63%,25.98%,41.83%,40.01%,81.64%,19.44%,https://www.howbuy.com/fund/001837
210008,金鹰策略配置混合,01-26,2.4930,8.13%,12.06%,41.69%,35.64%,84.65%,10.30%,https://www.howbuy.com/fund/210008
001679,前海开源稀缺资产混合A,01-26,3.5000,7.20%,18.20%,41.47%,44.69%,129.66%,12.18%,https://www.howbuy.com/fund/001679
002079,前海开源稀缺资产混合C,01-26,3.6640,7.20%,18.19%,41.47%,44.59%,129.57%,12.19%,https://www.howbuy.com/fund/002079
000689,前海开源新经济混合,01-26,1.8710,9.61%,8.72%,41.21%,45.38%,79.21%,10.84%,https://www.howbuy.com/fund/000689
007141,嘉合稳健增长混合A,01-26,1.4405,5.99%,16.59%,41.06%,--,--,12.64%,https://www.howbuy.com/fund/007141
165516,信诚周期轮动混合LOF,01-26,4.9730,7.13%,12.82%,41.01%,59.51%,122.17%,10.12%,https://www.howbuy.com/fund/165516
007142,嘉合稳健增长混合C,01-26,1.4364,5.98%,16.53%,40.85%,--,--,12.60%,https://www.howbuy.com/fund/007142
481001,工银核心价值混合A,01-26,0.5233,6.10%,13.48%,40.70%,48.36%,97.60%,12.04%,https://www.howbuy.com/fund/481001
004671,中融核心成长混合,01-26,1.6005,4.36%,9.27%,40.68%,44.15%,66.44%,3.75%,https://www.howbuy.com/fund/004671
519095,新华行业周期轮换混合,01-26,4.2922,6.41%,12.04%,40.54%,53.68%,84.06%,9.49%,https://www.howbuy.com/fund/519095
007163,浦银安盛环保新能源混合A,01-26,2.1447,7.33%,12.55%,40.42%,53.38%,77.82%,11.10%,https://www.howbuy.com/fund/007163
005977,中信保诚至兴混合A,01-26,1.9660,3.34%,9.26%,40.38%,44.16%,73.87%,5.49%,https://www.howbuy.com/fund/005977
007164,浦银安盛环保新能源混合C,01-26,2.1259,7.32%,12.52%,40.30%,53.11%,77.20%,11.08%,https://www.howbuy.com/fund/007164
005978,中信保诚至兴混合C,01-26,1.9236,3.32%,9.19%,40.10%,43.57%,72.50%,5.44%,https://www.howbuy.com/fund/005978
002345,华夏高端制造混合,01-26,1.6490,3.26%,8.77%,39.98%,51.42%,94.00%,4.50%,https://www.howbuy.com/fund/002345
008227,宝盈研究精选混合A,01-26,2.2561,5.90%,13.75%,39.97%,38.98%,114.68%,12.70%,https://www.howbuy.com/fund/008227
008228,宝盈研究精选混合C,01-26,2.2440,5.89%,13.70%,39.80%,38.63%,113.61%,12.66%,https://www.howbuy.com/fund/008228
006252,永赢消费主题混合A,01-26,3.6600,5.21%,15.07%,39.80%,61.10%,112.80%,11.92%,https://www.howbuy.com/fund/006252
000496,长安产业精选混合A,01-26,1.7027,9.84%,11.18%,39.78%,42.16%,30.48%,11.79%,https://www.howbuy.com/fund/000496
006253,永赢消费主题混合C,01-26,3.6393,5.21%,15.05%,39.74%,60.95%,112.38%,11.91%,https://www.howbuy.com/fund/006253
004890,中邮健康文娱灵活配置混合,01-26,2.4432,1.92%,16.56%,39.70%,37.98%,73.93%,12.66%,https://www.howbuy.com/fund/004890
002071,长安产业精选混合C,01-26,1.6664,9.84%,11.14%,39.62%,41.82%,29.82%,11.76%,https://www.howbuy.com/fund/002071
005453,前海开源医疗健康混合A,01-26,3.2591,9.49%,16.59%,39.50%,48.09%,131.50%,13.19%,https://www.howbuy.com/fund/005453
005352,鹏扬景泰成长混合A,01-26,2.2501,6.13%,9.72%,39.49%,64.30%,100.62%,9.60%,https://www.howbuy.com/fund/005352
005454,前海开源医疗健康混合C,01-26,3.2500,9.49%,16.58%,39.46%,48.02%,131.30%,13.19%,https://www.howbuy.com/fund/005454
005353,鹏扬景泰成长混合C,01-26,2.2216,6.12%,9.69%,39.33%,63.94%,99.77%,9.57%,https://www.howbuy.com/fund/005353
005449,华夏行业龙头混合,01-26,1.8512,5.86%,15.79%,39.27%,42.94%,74.35%,9.32%,https://www.howbuy.com/fund/005449
005341,长安裕泰混合A,01-26,3.0337,4.12%,14.87%,39.24%,57.54%,99.01%,11.54%,https://www.howbuy.com/fund/005341
005342,长安裕泰混合C,01-26,3.0523,4.11%,14.85%,39.18%,57.42%,98.73%,11.53%,https://www.howbuy.com/fund/005342
161729,招商3年封闭瑞利混合,01-26,2.3403,5.68%,16.73%,39.14%,44.79%,99.82%,14.26%,https://www.howbuy.com/fund/161729
008381,前海开源新兴产业混合,01-26,1.8785,6.56%,18.84%,39.08%,50.74%,--,14.04%,https://www.howbuy.com/fund/008381
001298,金鹰民族新兴混合,01-26,2.6620,13.71%,14.00%,39.01%,58.55%,103.98%,16.35%,https://www.howbuy.com/fund/001298
007306,华泰柏瑞基本面智选混合A,01-26,2.6449,8.42%,12.16%,39.00%,45.54%,102.92%,9.29%,https://www.howbuy.com/fund/007306
169102,东方红睿阳三年定开混合,01-26,2.5356,4.01%,17.40%,38.94%,64.31%,85.53%,13.43%,https://www.howbuy.com/fund/169102
001716,工银新趋势灵活配置混合A,01-26,3.3260,4.95%,11.50%,38.93%,54.63%,133.40%,9.70%,https://www.howbuy.com/fund/001716
007307,华泰柏瑞基本面智选混合C,01-26,2.6231,8.41%,12.13%,38.91%,45.36%,102.40%,9.27%,https://www.howbuy.com/fund/007307
050018,博时行业轮动混合,01-26,2.1070,5.99%,16.02%,38.80%,46.52%,70.47%,15.52%,https://www.howbuy.com/fund/050018
001811,中欧明睿新常态混合A,01-26,2.6370,3.74%,14.95%,38.79%,43.94%,71.35%,12.60%,https://www.howbuy.com/fund/001811
006371,长安鑫盈混合A,01-26,2.5871,4.49%,14.28%,38.71%,56.86%,103.97%,10.53%,https://www.howbuy.com/fund/006371
530001,建信恒久价值混合,01-26,1.4720,4.40%,11.48%,38.70%,53.89%,95.16%,8.25%,https://www.howbuy.com/fund/530001
001997,工银新趋势灵活配置混合C,01-26,3.1090,4.93%,11.43%,38.67%,54.14%,131.84%,9.63%,https://www.howbuy.com/fund/001997
004987,诺德新享混合,01-26,2.4712,7.83%,13.58%,38.53%,56.63%,107.47%,5.62%,https://www.howbuy.com/fund/004987
005765,中欧明睿新常态混合C,01-26,2.6010,3.71%,14.83%,38.50%,43.31%,69.89%,12.50%,https://www.howbuy.com/fund/005765
006372,长安鑫盈混合C,01-26,2.5731,4.47%,14.21%,38.44%,56.24%,102.35%,10.47%,https://www.howbuy.com/fund/006372
006051,鹏扬核心价值混合A,01-26,2.2806,6.21%,9.50%,38.29%,62.76%,96.62%,9.25%,https://www.howbuy.com/fund/006051
002443,前海开源沪港深龙头精选,01-26,2.2280,7.48%,18.57%,38.21%,48.73%,80.55%,14.02%,https://www.howbuy.com/fund/002443
007281,嘉合消费升级混合,01-26,1.6759,5.96%,15.02%,38.19%,45.73%,86.42%,11.44%,https://www.howbuy.com/fund/007281
006052,鹏扬核心价值混合C,01-26,2.2600,6.21%,9.46%,38.17%,62.44%,95.86%,9.22%,https://www.howbuy.com/fund/006052
000993,华宝稳健回报混合,01-26,1.8510,6.69%,14.05%,38.13%,52.10%,112.27%,9.20%,https://www.howbuy.com/fund/000993
610006,信达澳银产业升级混合,01-26,2.5440,-0.31%,12.02%,38.11%,47.99%,76.06%,8.90%,https://www.howbuy.com/fund/610006
481015,工银主题策略混合,01-26,5.1730,4.46%,8.02%,38.02%,58.83%,123.46%,6.79%,https://www.howbuy.com/fund/481015
001606,农银工业4.0混合,01-26,3.6534,2.79%,5.81%,37.93%,70.23%,153.55%,4.53%,https://www.howbuy.com/fund/001606
005049,长安鑫旺价值混合A,01-26,3.3249,4.71%,14.64%,37.86%,56.98%,95.04%,11.23%,https://www.howbuy.com/fund/005049
