基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
005763,中欧电子信息产业沪港深C,01-26,2.5103,0.52%,11.94%,18.56%,18.44%,49.90%,7.56%,https://www.howbuy.com/fund/005763
673090,西部利得个股精选股票,01-26,1.8368,1.53%,9.52%,18.56%,28.15%,51.51%,5.93%,https://www.howbuy.com/fund/673090
004098,前海开源港股通股息率50强,01-26,1.0621,-1.60%,10.64%,18.55%,20.02%,11.92%,6.41%,https://www.howbuy.com/fund/004098
540007,汇丰晋信中小盘股票,01-26,2.3023,-0.31%,5.11%,18.47%,20.77%,55.11%,1.22%,https://www.howbuy.com/fund/540007
005209,东吴双三角股票A,01-26,1.4670,4.66%,12.85%,18.20%,19.89%,42.16%,8.50%,https://www.howbuy.com/fund/005209
001733,泰达宏利量化股票,01-26,1.4980,1.56%,9.34%,18.05%,25.15%,48.32%,5.79%,https://www.howbuy.com/fund/001733
005210,东吴双三角股票C,01-26,1.4412,4.64%,12.80%,18.04%,19.58%,41.43%,8.45%,https://www.howbuy.com/fund/005210
160919,大成产业升级股票LOF,01-26,2.5340,0.20%,7.97%,18.03%,28.63%,66.71%,6.52%,https://www.howbuy.com/fund/160919
001692,南方国策动力股票,01-26,2.4240,2.54%,10.28%,18.01%,23.80%,65.46%,5.62%,https://www.howbuy.com/fund/001692
008166,工银消费股票A,01-26,1.6607,3.14%,8.82%,18.00%,26.62%,--,4.52%,https://www.howbuy.com/fund/008166
340006,兴全全球视野股票,01-26,3.1961,3.24%,14.30%,17.95%,22.29%,51.82%,9.81%,https://www.howbuy.com/fund/340006
000756,建信潜力新蓝筹股票,01-26,2.5270,2.31%,8.13%,17.92%,30.86%,67.57%,4.55%,https://www.howbuy.com/fund/000756
008303,宝盈龙头优选股票A,01-26,1.2764,0.67%,16.95%,17.84%,6.20%,--,12.68%,https://www.howbuy.com/fund/008303
002980,华夏创新前沿股票,01-26,2.5830,2.91%,7.45%,17.78%,22.36%,76.68%,3.49%,https://www.howbuy.com/fund/002980
008167,工银消费股票C,01-26,1.6488,3.11%,8.74%,17.75%,26.09%,--,4.45%,https://www.howbuy.com/fund/008167
000974,安信消费医药股票,01-26,2.0500,2.96%,7.61%,17.75%,17.61%,39.46%,4.86%,https://www.howbuy.com/fund/000974
519935,长信创新驱动股票,01-26,1.9960,3.26%,11.57%,17.69%,9.07%,36.25%,7.20%,https://www.howbuy.com/fund/519935
007685,华商电子行业量化股票,01-26,1.7986,-1.74%,10.81%,17.66%,19.92%,43.58%,8.75%,https://www.howbuy.com/fund/007685
008304,宝盈龙头优选股票C,01-26,1.2678,0.65%,16.87%,17.60%,5.76%,--,12.61%,https://www.howbuy.com/fund/008304
002229,华夏经济转型股票,01-26,2.5530,-0.27%,10.62%,17.49%,21.05%,62.40%,6.42%,https://www.howbuy.com/fund/002229
009733,创金合信港股通大消费股A,01-26,1.1091,2.30%,11.22%,17.48%,--,--,7.44%,https://www.howbuy.com/fund/009733
000628,大成高新技术产业股票A,01-26,3.2930,1.64%,6.54%,17.44%,34.03%,68.61%,3.88%,https://www.howbuy.com/fund/000628
008445,融通产业趋势先锋股票,01-26,1.3068,3.11%,8.85%,17.42%,20.31%,--,6.11%,https://www.howbuy.com/fund/008445
006675,宝盈品牌消费股票A,01-26,1.5719,4.63%,16.94%,17.31%,4.21%,45.12%,12.49%,https://www.howbuy.com/fund/006675
009734,创金合信港股通大消费股C,01-26,1.1059,2.28%,11.16%,17.26%,--,--,7.39%,https://www.howbuy.com/fund/009734
320022,诺安研究精选股票,01-26,2.4150,3.69%,9.13%,17.23%,17.86%,67.13%,6.20%,https://www.howbuy.com/fund/320022
006911,长江量化匠心甄选股票A,01-26,1.7147,3.07%,10.26%,17.23%,17.95%,43.72%,7.28%,https://www.howbuy.com/fund/006911
005504,添富沪港深大盘价值混合,01-26,1.4024,0.06%,12.72%,17.07%,23.48%,43.42%,7.88%,https://www.howbuy.com/fund/005504
006676,宝盈品牌消费股票C,01-26,1.5513,4.62%,16.86%,17.07%,3.79%,43.95%,12.42%,https://www.howbuy.com/fund/006676
006957,长江量化匠心甄选股票C,01-26,1.6926,3.06%,10.20%,17.05%,17.59%,42.87%,7.24%,https://www.howbuy.com/fund/006957
007674,工银产业升级股票A,01-26,1.3746,-0.85%,6.46%,17.04%,16.02%,36.78%,3.59%,https://www.howbuy.com/fund/007674
004484,泰达宏利业绩股票A,01-26,1.7315,1.63%,8.73%,16.82%,22.60%,43.60%,5.14%,https://www.howbuy.com/fund/004484
007675,工银产业升级股票C,01-26,1.3626,-0.87%,6.39%,16.80%,15.54%,35.66%,3.53%,https://www.howbuy.com/fund/007675
000866,华宝制造股票,01-26,2.2330,0.27%,9.73%,16.79%,27.38%,69.04%,6.49%,https://www.howbuy.com/fund/000866
